product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,hire_type,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator
TTL Assisted Consumer,10000002904,GPRIMICH,INTUIT,Tax Expert,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000104029,WBILLINGSLEY,INTUIT,Tax Specialist,PL1,New Hire,4,4,1,1,40.58,46.85,4,10,1073.200001,109,21.642207,6,7.155326,3,0,0,14.486881,3
TTL Assisted Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,Re-Hire,0,1,1,1,16.76,18.85,0,0,1050.9,27,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000111724,FBOWERS,INTUIT,Tax Associate,PL3,Re-Hire,0,0,0,0,24.53,27.18,12,16,674.049998,64,80.263384,23,14.962338,6,16.511351,6,48.789695,11
TTL Assisted Consumer,10000115962,HRECIO,INTUIT,Tax Expert,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,New Hire,1,3,2,3,36.15,40.88,0,0,1744.916664,52,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,New Hire,0,2,0,1,62.98,70.35,9,17,2277.650007,126,33.672634,13,26.797345,10,5.821227,2,1.054062,1
TTL Assisted Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,Re-Hire,6,8,7,8,32.62,41.1,0,0,3977.416669,185,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,Re-Hire,6,10,2,2,152.8,179.03,53,109,8003.800015,443,475.754226,102,36.323432,20,131.608693,32,304.952544,49
TTL Assisted Consumer,10000137397,BYANG1,INTUIT,Tax Expert,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,New Hire,5,11,9,10,83.5,96.89,0,0,3111.583334,113,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,New Hire,2,2,0,1,61.68,69.16,9,30,3087.866668,111,63.170641,21,20.030494,10,36.183376,8,6.956771,3
TTL Assisted Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,Re-Hire,3,5,5,5,36.84,42.26,0,0,3198.650001,131,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,Re-Hire,3,4,1,1,80.83,87.88,31,47,3896.383329,204,283.517384,45,98.736352,23,59.323551,13,98.436566,8
TTL Assisted Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,Re-Hire,1,1,0,1,12.36,13.05,0,0,936.8,28,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,Re-Hire,1,3,1,3,38.63,43.12,9,19,1932.516664,89,50.243766,12,17.502558,6,7.899516,2,24.841692,4
TTL Assisted Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,Re-Hire,5,6,5,6,25.87,30.34,0,0,2057.416671,98,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,Re-Hire,1,1,1,1,44.43,50.34,24,38,2403.316669,127,284.47967,48,42.929955,11,56.959333,11,184.590382,26
TTL Assisted Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,Re-Hire,16,19,18,19,66.8,76.43,0,0,6070.6,345,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,Re-Hire,9,15,3,4,254.94,280.52,126,184,8100.95,693,541.991124,222,53.180498,51,91.889837,57,394.828114,113
TTL Assisted Consumer,10000144768,TLEE,INTUIT,Tax Expert,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000147709,KLEW1,INTUIT,Tax Specialist,PL1,New Hire,0,0,0,0,4.2,4.98,0,1,2036.116667,12,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,New Hire,0,0,0,0,21.51,27.94,0,0,628.600001,34,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,New Hire,-2,2,0,2,47.88,62.31,6,12,1564.883337,114,41.543373,7,27.864699,3,8.950156,3,4.728518,1
TTL Assisted Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,Re-Hire,0,0,0,0,2.88,3.32,0,0,52.216667,5,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,Re-Hire,0,0,0,0,2.98,3.15,2,3,160.666667,6,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,New Hire,-1,2,1,2,61.91,83.23,0,0,1490.433335,114,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,New Hire,-1,3,0,2,123.26,158.68,20,46,2846.799996,307,79.053762,28,27.817557,12,41.12319,13,10.113015,3
TTL Assisted Consumer,10000175185,JMASSEY,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,0.216667,1,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,Re-Hire,7,7,6,7,18.65,22.59,0,0,1553.549999,71,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,Re-Hire,0,2,1,1,139.79,155.26,35,54,4752.466668,379,289.369566,81,29.73139,19,80.616145,26,176.305372,35
TTL Assisted Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,Re-Hire,0,0,0,0,0,0,0,0,89.066666,2,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,Re-Hire,0,0,0,0,13.12,18.06,11,16,690.966667,68,78.561875,21,37.474879,11,24.57157,6,16.515426,4
TTL Assisted Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,Re-Hire,19,21,20,21,61.76,71.83,0,0,2757.849998,167,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,Re-Hire,2,2,0,0,143.93,161.73,42,83,3183.98333,375,233.690395,76,31.053642,19,19.867494,15,182.769259,42
TTL Assisted Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,Re-Hire,3,3,3,3,10.54,11.53,0,0,1469.88333,72,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,Re-Hire,18,22,3,4,152.2,167.04,92,124,4878.700003,382,770.161733,264,82.364182,47,182.397589,64,489.318913,150
TTL Assisted Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,Re-Hire,3,5,4,4,19.2,22.69,0,0,1432.949999,53,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,Re-Hire,2,3,1,1,97.68,111.34,55,84,4384.516668,219,215.925778,118,29.57142,23,47.095798,32,139.25856,63
TTL Assisted Consumer,30000002256,BOT-VEP-BOT-3779430,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,50.933333,6,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002273,BOT-VEP-BOT-3793397,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,5956.749999,197,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002274,BOT-VEP-BOT-3793400,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0.2,0.22,0,0,4888.600005,297,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002275,BOT-VEP-BOT-3793413,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,247.533332,50,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002276,BOT-VEP-BOT-3793411,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,2592.9,84,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002277,BOT-VEP-BOT-3793409,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,498.083334,52,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002278,BOT-VEP-BOT-3793405,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,236.583332,24,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003012,BOT-VEP-TTP-4756498,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,8358.066668,65,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003013,BOT-VEP-MCP-4756534,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,1696.466666,14,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003015,BOT-VEP-MCP-4756535,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,179.466667,26,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003016,BOT-VEP-TTP-4756505,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,4.62,4.95,0,0,13154.41667,291,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003017,BOT-VEP-QBP-4756532,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0.2,0.2,0,0,18.5,6,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003053,BOT-TTM-IDC-4839819,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,4307.733333,52,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003058,BOT-VEP-TT4-4859355,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,2.083333,1,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003060,BOT-VEP-TT2-4859348,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,1.383333,1,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003062,BOT-VEP-TT5-4859366,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,1639.583334,8,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003064,BOT-VEP-TT1-4859343,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,980.133331,38,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003091,BOT-VEP-QBM-5089126,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003095,BOT-VEP-TTM-5090962,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,756.31667,55,0,0,0,0,0,0,0,0
TTL Full Service Consumer,30000003257,BOT-CG-IEP-5549546,INTUIT,Tax Expert,PL2,New Hire,0,0,0,0,0,0,0,0,77.366667,1,0,0,0,0,0,0,0,0
TTL Full Service Consumer,30000003259,BOT-CG-IEP-5549599,INTUIT,Tax Expert,PL2,New Hire,0,0,0,0,0,0,0,0,165.366667,5,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000007931,BOT-VEP-TC-6741433,INTUIT,Tax Expert,OTHER,New Hire,0,0,0,0,0,0,0,0,7.8,5,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000001428,JBAKER1,INTUIT,Tax Specialist,PL1,New Hire,1,1,1,1,8.31,10.19,0,0,349.766668,14,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000001428,JBAKER1,INTUIT,Tax Specialist,PL1,New Hire,2,2,0,0,34.38,39.16,9,20,2780.250001,84,40.964616,11,36.841712,10,4.122904,1,0,0
TTL Assisted Consumer,50000003141,MSABELLICO,INTUIT,Tax Expert,PL4,Re-Hire,10,13,12,13,21.18,26.07,0,0,1846.083331,112,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000003141,MSABELLICO,INTUIT,Tax Expert,PL4,Re-Hire,12,14,0,1,150.14,175.07,109,138,7945.233332,377,406.170017,166,47.619828,40,75.284971,41,283.265218,85
TTL Assisted Consumer,50000010248,JCROSBY1,INTUIT,Tax Expert,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000011168,MGRISBY,INTUIT,Tax Associate,OTHER,Re-Hire,1,1,1,1,0,0,0,0,787.28333,38,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000011810,LBURROUGHS,INTUIT,Tax Expert,PL3,Re-Hire,-1,1,0,1,11.36,13.86,0,0,564.433335,25,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000011810,LBURROUGHS,INTUIT,Tax Expert,PL3,Re-Hire,1,1,0,0,96.25,107.62,63,72,2135.049995,234,225.295491,93,32.058162,23,46.830981,25,146.406348,45
TTL Assisted Consumer,50000016519,RHASTY,INTUIT,Tax Expert,PL3,Re-Hire,0,0,0,0,1.42,1.42,0,0,545.916667,7,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000016519,RHASTY,INTUIT,Tax Expert,PL3,Re-Hire,1,3,0,0,45.7,50.02,25,33,3238.9,103,285.639285,53,82.400015,24,91.83503,16,111.40424,13
TTL Assisted Consumer,50000017763,JMULL1,INTUIT,Tax Expert,PL4,Re-Hire,3,3,3,3,19.62,22.7,0,0,2994.450001,164,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000017763,JMULL1,INTUIT,Tax Expert,PL4,Re-Hire,2,6,1,1,205.28,229.24,113,142,7146.000005,518,430.966734,177,39.947497,37,96.893759,54,282.471273,84
TTL Assisted Consumer,50000018904,LLONG,INTUIT,Tax Expert,PL4,Re-Hire,15,20,14,19,35.97,48.41,0,0,8615.316672,514,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000018904,LLONG,INTUIT,Tax Expert,PL4,Re-Hire,5,13,4,5,214.39,273.11,101,186,9776.949988,720,488.233959,161,53.088879,37,125.051447,41,303.018737,81
TTL Assisted Consumer,50000019668,BSAUVE,INTUIT,Tax Expert,PL4,Re-Hire,2,3,3,3,9.32,10.85,0,0,1261.266665,29,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000019668,BSAUVE,INTUIT,Tax Expert,PL4,Re-Hire,5,5,0,0,76.04,94.82,39,65,7858.9,209,637.289294,81,134.644133,27,76.413852,17,426.231309,37
TTL Assisted Consumer,50000019671,BELLIS2,INTUIT,Tax Expert,PL4,Re-Hire,3,3,3,3,15.92,17.8,0,0,1237.399998,48,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000019671,BELLIS2,INTUIT,Tax Expert,PL4,Re-Hire,9,9,1,1,159.11,177.44,74,97,5678.816679,431,543.007936,125,26.381748,13,90.793867,32,414.14271,78
TTL Assisted Consumer,50000024272,DSOUKUP,INTUIT,Tax Expert,PL4,Re-Hire,3,6,5,6,50.78,70.09,0,0,2549.233329,203,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000024272,DSOUKUP,INTUIT,Tax Expert,PL4,Re-Hire,2,8,0,1,175.94,210.46,94,175,9269.583333,446,188.954085,100,21.861235,16,36.747378,26,129.117268,57
TTL Assisted Consumer,50000025601,KDELORENZO,INTUIT,Tax Expert,PL4,Re-Hire,0,0,0,0,5.15,6.09,0,0,606.099997,19,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000025601,KDELORENZO,INTUIT,Tax Expert,PL4,Re-Hire,4,4,0,0,67.93,73.88,42,50,3744.099999,143,260.217289,78,32.161911,15,96.137785,31,131.917593,32
TTL Assisted Consumer,50000025777,JCARUSO,INTUIT,Tax Expert,PL4,Re-Hire,8,8,6,7,21.43,23.86,0,0,2387.48333,138,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000025777,JCARUSO,INTUIT,Tax Expert,PL4,Re-Hire,16,17,1,1,193.06,216.5,43,88,4754.899997,520,320.764695,56,45.488631,9,94.088899,24,181.187165,23
TTL Assisted Consumer,50000030029,CCHASE,INTUIT,Tax Expert,PL4,Re-Hire,0,2,1,2,26.24,27.35,0,0,6392.366664,183,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000030029,CCHASE,INTUIT,Tax Expert,PL4,Re-Hire,5,7,1,2,179.77,194.43,45,67,10488.14999,527,331.987705,103,72.599542,33,68.073467,29,183.530141,40
TTL Assisted Consumer,50000030047,ARAY2,INTUIT,Tax Expert,PL4,Re-Hire,16,18,17,18,52.72,60.85,0,0,8020.449997,420,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000030047,ARAY2,INTUIT,Tax Expert,PL4,Re-Hire,29,40,6,9,491.47,559.75,210,308,29535.93335,1272,542.085298,267,46.219896,37,90.639695,57,403.753346,172
TTL Assisted Consumer,50000030055,EJOHNSSON,INTUIT,Tax Expert,PL4,Re-Hire,9,10,9,9,14.11,16.23,0,0,3239.333333,100,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000030055,EJOHNSSON,INTUIT,Tax Expert,PL4,Re-Hire,6,7,1,1,67.34,71.95,44,62,4097.816666,194,239.80985,87,23.022157,16,69.479139,33,147.308554,38
TTL Assisted Consumer,50000030069,MGHARRITY,INTUIT,Tax Expert,PL4,Re-Hire,1,3,2,3,19.54,23.26,0,0,1218.649997,52,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000030069,MGHARRITY,INTUIT,Tax Expert,PL4,Re-Hire,3,3,0,0,82.09,94.25,77,100,5277.433334,199,380.768074,143,32.066144,30,54.28967,31,294.41226,82
TTL Assisted Consumer,50000030093,ADONAHUE1,INTUIT,Tax Expert,PL4,Re-Hire,2,4,3,4,10.12,11.78,0,0,2313.81667,102,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000030093,ADONAHUE1,INTUIT,Tax Expert,PL4,Re-Hire,15,16,2,2,151.32,171.67,89,129,5358.333332,351,746.125779,202,75.67188,41,84.856719,37,575.553122,122
TTL Assisted Consumer,50000031874,JCHILAKA,INTUIT,Tax Expert,PL4,Re-Hire,1,1,1,1,4.06,4.5,0,0,470.849999,20,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000031874,JCHILAKA,INTUIT,Tax Expert,PL4,Re-Hire,2,2,1,1,96.63,107.96,51,62,2750.433328,229,262.758553,99,22.542857,15,63.996325,26,176.219371,58
TTL Assisted Consumer,50000031904,EEASON,INTUIT,Tax Expert,PL3,Re-Hire,0,0,0,0,2.76,2.84,0,0,227.899999,7,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000031904,EEASON,INTUIT,Tax Expert,PL3,Re-Hire,0,0,0,0,34.57,38.94,11,22,1010.833333,93,69.554984,17,11.63696,6,53.846448,10,4.071576,1
TTL Assisted Consumer,50000034033,JKALINOWSKI,INTUIT,Tax Expert,PL4,Re-Hire,27,29,26,28,74.53,82.96,0,0,13857.36667,808,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000034033,JKALINOWSKI,INTUIT,Tax Expert,PL4,Re-Hire,34,41,11,12,456.6,514.48,173,262,15480.08334,1226,884.331582,366,112.890745,81,210.619549,106,552.543114,176
TTL Assisted Consumer,50000034039,RCOTTRELL,INTUIT,Tax Expert,PL4,Re-Hire,2,2,2,2,11.11,14.45,0,0,758.216666,31,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000034039,RCOTTRELL,INTUIT,Tax Expert,PL4,Re-Hire,4,5,1,2,84.13,102.27,44,65,4737.566668,205,130.463302,49,10.602868,9,30.75161,13,87.01895,26
TTL Assisted Consumer,50000035660,CBOYER2,INTUIT,Tax Expert,PL4,Re-Hire,0,0,0,0,1.73,2.37,0,0,592.4,12,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000035660,CBOYER2,INTUIT,Tax Expert,PL4,Re-Hire,0,0,0,0,7.56,8.78,1,4,238.333334,23,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000037166,TCHARLES,INTUIT,Tax Associate,PL4,Re-Hire,1,2,2,2,13.99,16.92,0,0,1601.966664,56,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000037166,TCHARLES,INTUIT,Tax Associate,PL4,Re-Hire,4,4,0,0,68.54,77.47,37,41,2669.98334,175,292.400318,64,10.763429,8,33.678233,10,247.958656,46
TTL Assisted Consumer,50000037469,JHELLMANN,INTUIT,Tax Expert,PL4,Re-Hire,8,16,12,16,31.99,36.16,0,0,2657.033333,110,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000037469,JHELLMANN,INTUIT,Tax Expert,PL4,Re-Hire,3,3,0,0,120.31,132.08,54,85,8869.066671,281,545.204336,98,58.64225,26,94.391638,25,384.708372,46
TTL Assisted Consumer,50000042682,TLINDGREN,INTUIT,Tax Expert,PL4,Re-Hire,5,5,5,5,17.1,19.45,0,0,8181.000001,256,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000042682,TLINDGREN,INTUIT,Tax Expert,PL4,Re-Hire,5,5,3,3,112.42,125.97,52,80,4720.133336,420,268.808371,89,71.213078,27,63.439539,25,134.155754,37
TTL Assisted Consumer,50000044014,RTHWING,INTUIT,Tax Expert,PL4,Re-Hire,2,3,3,3,19.56,25.53,0,0,1929.100004,100,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000044014,RTHWING,INTUIT,Tax Expert,PL4,Re-Hire,6,10,2,3,65.24,80.72,48,87,5887.533333,188,368.721994,95,58.183747,27,109.087711,27,193.022112,40
TTL Assisted Consumer,50000044344,ERAGLAND,INTUIT,Tax Expert,PL4,Re-Hire,8,9,6,8,20.21,24.24,0,0,7200.86667,203,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000044344,ERAGLAND,INTUIT,Tax Expert,PL4,Re-Hire,2,2,1,1,54.46,67.12,15,34,2773.550002,228,245.393892,57,19.41475,9,66.05808,23,159.921062,25
TTL Assisted Consumer,50000052022,JVALENZUELA,INTUIT,Tax Expert,OTHER,New Hire,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000052625,KALLEN5,INTUIT,Tax Associate,PL4,Re-Hire,0,0,0,0,28.06,32.46,0,0,1143.733332,55,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000052625,KALLEN5,INTUIT,Tax Associate,PL4,Re-Hire,0,0,0,0,70.87,81.85,43,54,2621.749997,171,313.088722,105,14.394508,11,113.922775,46,184.771439,48
TTL Assisted Consumer,50000061142,PIRERI,INTUIT,Tax Associate,PL1,Re-Hire,7,10,9,10,69.38,82.49,0,0,6395.083336,235,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000061142,PIRERI,INTUIT,Tax Associate,PL1,Re-Hire,2,2,0,0,43.11,49.98,16,32,2520.716664,91,0.620825,1,0.620825,1,0,0,0,0
TTL Assisted Consumer,50000061442,PZANER,INTUIT,Tax Expert,PL4,Re-Hire,0,0,0,0,0,0,0,0,177.666668,6,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000061442,PZANER,INTUIT,Tax Expert,PL4,Re-Hire,0,0,0,0,24.75,26.46,39,40,1356.833331,52,365.350642,91,34.383592,19,55.226622,18,275.740428,54
TTL Assisted Consumer,50000061463,STUCKER,INTUIT,Tax Expert,PL4,Re-Hire,2,5,4,4,12.41,13.47,0,0,1127.533335,61,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000061463,STUCKER,INTUIT,Tax Expert,PL4,Re-Hire,3,4,0,0,116.91,126.94,54,79,2965.133334,252,282.071973,108,52.838944,35,47.631713,26,181.601316,47
TTL Assisted Consumer,50000061622,RGRIFFITH,INTUIT,Tax Expert,PL4,Re-Hire,10,13,11,13,60.04,68.62,0,0,4937.116667,251,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000061622,RGRIFFITH,INTUIT,Tax Expert,PL4,Re-Hire,3,3,0,0,121.56,138.81,38,65,3778.900003,308,297.533745,108,62.136544,41,57.825608,26,177.571593,41
TTL Assisted Consumer,50000065809,CROGERS1,INTUIT,Tax Expert,PL4,Re-Hire,4,4,3,3,19.09,23.03,0,0,5077.583333,114,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000065809,CROGERS1,INTUIT,Tax Expert,PL4,Re-Hire,6,8,2,2,107.11,118.26,42,70,3463.816666,264,400.360965,151,33.079719,28,62.837806,35,304.44344,88
TTL Assisted Consumer,50000066156,MLOIOLA,INTUIT,Tax Expert,PL4,Re-Hire,5,9,7,9,23.39,29.6,0,0,7540.400006,298,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000066156,MLOIOLA,INTUIT,Tax Expert,PL4,Re-Hire,7,10,5,6,97.31,116.25,47,96,7697.433336,294,299.477082,84,51.122695,27,42.230687,14,195.346763,42
TTL Assisted Consumer,50000068723,KKU1,INTUIT,Tax Expert,PL4,Re-Hire,11,13,12,13,54.33,66.81,0,0,7198.250002,349,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000068723,KKU1,INTUIT,Tax Expert,PL4,Re-Hire,5,13,2,2,235.04,275.82,94,156,12637.33333,732,535.209172,195,70.428381,51,83.712164,39,371.811716,103
TTL Assisted Consumer,50000074200,SRASMUSSEN,INTUIT,Tax Expert,PL4,Re-Hire,6,6,6,6,4.32,5.12,0,0,3676.400005,175,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000074200,SRASMUSSEN,INTUIT,Tax Expert,PL4,Re-Hire,0,0,0,0,46.49,54.87,31,50,2840.216665,203,263.867742,70,18.209297,9,62.916383,23,182.742062,38
TTL Assisted Consumer,50000074679,AHUTCHINSON2,INTUIT,Tax Expert,PL1,Re-Hire,1,1,1,1,3.04,3.08,0,0,336,7,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000074679,AHUTCHINSON2,INTUIT,Tax Expert,PL1,Re-Hire,0,0,0,0,2.6,3.12,0,4,195.916667,9,11.697847,2,6.608285,1,5.089562,1,0,0
TTL Assisted Consumer,50000074688,RSTEWARTGHAFOOR,INTUIT,Tax Expert,PL4,Re-Hire,7,7,4,5,4.42,4.9,0,0,3138.049998,85,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000074688,RSTEWARTGHAFOOR,INTUIT,Tax Expert,PL4,Re-Hire,3,4,2,2,136.99,152.82,28,51,7570.449996,404,470.781785,51,24.085934,5,46.660292,9,400.035559,37
TTL Assisted Consumer,50000074690,KCARROLL,INTUIT,Tax Expert,PL4,Re-Hire,6,6,6,6,16.87,18.75,0,0,2420.150003,109,0,0,0,0,0,0,0,0
TTL Full Service Consumer,50000074690,KCARROLL,INTUIT,Tax Expert,PL4,Re-Hire,8,10,0,0,162.62,181.18,42,77,5297.383339,456,381.223067,97,51.804859,25,90.419678,30,231.533708,41
TTL Assisted Consumer,50000079685,JENNIFERM719,INTUIT,Tax Expert,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000080013,SWOODS3,INTUIT,Tax Expert,PL4,Re-Hire,7,7,7,7,17.67,21.07,0,0,2629.266666,74,0,0,0,0,0,0,0,0
