product_name,expert_partner_name,expert_role,proficiency_level,contact_type,hire_type,expert_tenure_category,reporting_period,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,90-120 days,26-Apr,73,113,86,105,1313.65,1586.21,0,0,51252.45,2552,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,60-90 days,26-Apr,14,14,13,14,157.79,195.37,0,0,5279.466677,307,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,90-120 days,26-Apr,5,13,9,13,111.97,136.28,0,0,3963.633339,245,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,Re-Hire,30-60 days,26-Mar,0,0,0,0,0,0,0,0,544.150001,14,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,60-90 days,26-Mar,22,33,26,31,241.09,281.08,0,0,9766.116664,426,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,Re-Hire,30-60 days,26-Feb,0,0,0,0,0,0,0,0,44.466667,3,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,30-60 days,26-Mar,6,6,6,6,19.13,23.42,0,0,1586.6,69,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,30-60 days,26-Mar,49,76,65,72,489.35,573.46,0,0,23611.63333,1087,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,Re-Hire,60-90 days,26-Apr,-2,2,0,1,0,0,0,0,4917.616669,128,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,60-90 days,26-Apr,139,197,168,190,1965.47,2368.03,0,0,78697.70002,3738,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,60-90 days,26-Mar,307,449,383,432,3006.57,3580.38,0,0,121604.2,5777,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,New Hire,60-90 days,After Season,0,0,0,0,0,0,0,0,31.266667,1,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,New Hire,60-90 days,26-Apr,31,62,41,55,0,0,0,0,41183.53333,1472,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,Re-Hire,90-120 days,26-Apr,0,4,1,3,0,0,0,0,3200.316666,103,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,30-60 days,26-Feb,1,1,1,1,6.24,6.96,0,0,265.749998,16,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,New Hire,90-120 days,26-Apr,24,33,27,29,0,0,0,0,28765.98333,972,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,Re-Hire,60-90 days,26-Mar,3,5,4,4,0,0,0,0,4859.400001,159,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Chat,New Hire,30-60 days,26-Mar,5,9,9,9,0,0,0,0,5834.733339,200,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,90-120 days,After Season,0,0,0,0,115.67,147.51,0,0,26.8,2,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,60-90 days,After Season,0,0,0,0,1.88,2.37,0,0,0,0,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,New Hire,60-90 days,After Season,0,0,0,0,59.45,73.9,0,0,1.55,1,0,0
TTL Assisted Consumer,EDUCATION AT WORK,Tax Specialist,PL2,Phone,Re-Hire,90-120 days,After Season,0,0,0,0,17.16,21.29,0,0,0,0,0,0
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,PL1,Phone,New Hire,30-60 days,26-Mar,0,0,0,0,2.74,3.46,0,0,15.016666,7,0,0
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,PL1,Phone,Re-Hire,30-60 days,26-Mar,0,1,1,1,0.42,0.48,0,0,30.283334,2,0,0
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,PL1,Phone,New Hire,< 30 days,26-Feb,0,0,0,0,0.62,1.62,0,0,14.05,3,0,0
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,PL1,Phone,Re-Hire,30-60 days,26-Apr,0,0,0,0,1.94,2.1,0,0,53.583333,1,0,0
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,PL1,Phone,New Hire,30-60 days,26-Apr,0,0,0,0,0.2,0.24,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,OTHER,Phone,New Hire,90-120 days,26-Feb,0,0,0,0,0.1,0.2,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,< 30 days,26-Jan,2,8,4,7,0,0,0,0,3359.933332,128,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,30-60 days,26-Feb,29,53,38,49,0,0,0,0,24616.33333,681,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,< 30 days,26-Mar,31,122,83,117,0,0,0,0,86917.56667,2426,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,< 30 days,26-Mar,98,216,147,198,2101.14,2713.06,0,0,139499.2667,4304,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,60-90 days,26-Mar,10,13,10,13,0,0,0,0,5655.883326,226,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,30-60 days,26-Mar,134,370,241,350,0,0,0,0,206380.6333,6779,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,30-60 days,26-Apr,13,29,21,27,0,0,0,0,17855.18334,509,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,< 30 days,Before Season,1,1,1,1,3.57,4.19,0,0,239.966667,10,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,60-90 days,26-Apr,43,74,57,70,1206.24,1520.55,0,0,45520.38334,2513,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,< 30 days,26-Apr,0,6,3,5,0,0,0,0,9170.849998,145,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,< 30 days,26-Feb,77,224,154,213,0,0,0,0,111855.1167,3964,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,< 30 days,26-Feb,272,525,374,500,4044.72,5173.2,0,0,243842.9666,8569,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,60-90 days,26-Apr,15,35,24,32,0,0,0,0,22552.81667,718,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,30-60 days,26-Mar,351,652,486,620,6179.42,7840.94,0,0,317611.45,12860,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,30-60 days,26-Feb,110,148,130,144,877.61,1073.85,0,0,41363.51666,1854,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Chat,New Hire,< 30 days,Before Season,0,0,0,0,0,0,0,0,511.199999,12,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,< 30 days,26-Apr,0,8,3,7,133.18,170.87,0,0,7902.933343,246,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,60-90 days,After Season,0,0,0,0,45.42,58.25,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,30-60 days,26-Apr,29,52,40,50,698.26,884.88,0,0,38960.79999,1404,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,60-90 days,26-Mar,11,24,19,24,242.65,300.47,0,0,11422.43334,499,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,< 30 days,26-Jan,20,24,20,22,161.34,198.23,0,0,7718.350009,322,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,Phone,New Hire,30-60 days,After Season,0,0,0,0,17.59,24.36,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,30-60 days,26-Mar,10,17,14,17,0,0,0,0,6520.550001,246,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,30-60 days,26-Feb,4,4,3,3,0,0,0,0,1414.033332,56,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,< 30 days,Before Season,0,0,0,0,0,0,0,0,19.7,1,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,60-90 days,26-Mar,0,0,0,0,1.05,1.07,0,0,44.9,2,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,< 30 days,26-Feb,10,17,12,16,0,0,0,0,6083.199998,176,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,< 30 days,26-Mar,1,3,2,3,0,0,0,0,3546.699996,98,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,< 30 days,26-Jan,2,2,2,2,14.31,16.7,0,0,556.466666,29,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,60-90 days,26-Apr,1,2,2,2,14.28,15.46,0,0,437.016668,24,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,60-90 days,26-Apr,0,0,0,0,0,0,0,0,182.683333,7,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,30-60 days,26-Mar,11,21,15,21,235.91,308.59,0,0,13439.15001,544,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,30-60 days,26-Feb,2,4,2,4,57.71,68.82,0,0,5073.733332,117,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,< 30 days,26-Mar,3,6,3,6,75.67,97.33,0,0,4825.883332,161,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Chat,New Hire,< 30 days,26-Jan,0,0,0,0,0,0,0,0,390.2,10,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,< 30 days,Before Season,0,0,0,0,0,0,0,0,0.616667,1,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,Phone,New Hire,< 30 days,26-Feb,25,37,33,36,258.81,324.55,0,0,14139.54999,525,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,< 30 days,26-Mar,5,37,21,35,0,0,0,0,18747.83333,422,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,< 30 days,26-Mar,39,77,58,73,850.23,1083.53,0,0,51483.99998,1679,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,30-60 days,26-Mar,22,79,49,74,0,0,0,0,59023.53334,1929,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,90-120 days,26-Apr,3,7,5,6,210.33,254.07,0,0,7116.183333,423,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,< 30 days,26-Jan,0,0,0,0,0,0,0,0,704.016664,45,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,< 30 days,26-Apr,13,17,13,16,286.1,367.36,0,0,12838.3,533,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,< 30 days,Before Season,0,0,0,0,0,0,0,0,132.116667,6,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,< 30 days,26-Feb,20,48,29,42,422.45,536.65,0,0,27883.39999,847,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,60-90 days,26-Mar,10,15,13,15,0,0,0,0,6229.166669,289,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,< 30 days,26-Feb,4,16,12,15,0,0,0,0,11710.25001,270,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,< 30 days,Before Season,0,0,0,0,1.08,1.42,0,0,94.783333,2,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,30-60 days,26-Mar,178,274,217,260,2988.91,3725.29,0,0,150113.3833,6044,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,30-60 days,26-Apr,15,33,22,30,0,0,0,0,20609.61667,823,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,< 30 days,26-Apr,4,6,4,6,0,0,0,0,3741.350001,237,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,90-120 days,26-Apr,0,2,1,2,0,0,0,0,1491.400003,83,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,60-90 days,26-Apr,126,186,151,173,2703.87,3296.8,0,0,102597.4667,5139,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,30-60 days,26-Feb,15,18,14,16,155.8,186.43,0,0,7417.766678,317,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,30-60 days,26-Feb,3,9,7,9,0,0,0,0,1926.833334,91,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,30-60 days,26-Apr,94,123,107,117,1309.22,1604.45,0,0,65831.15001,2465,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,30-60 days,After Season,0,0,0,0,17.8,22.07,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,< 30 days,26-Jan,4,5,3,4,53.57,70.09,0,0,3092.216667,104,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,60-90 days,After Season,0,0,0,0,78.13,97.8,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,60-90 days,26-Mar,49,70,56,65,588.85,717.17,0,0,25796.05001,1177,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,< 30 days,After Season,0,0,0,0,1.95,2.29,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Chat,New Hire,60-90 days,26-Apr,24,40,28,35,0,0,0,0,29440.93334,1386,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,Phone,New Hire,90-120 days,After Season,0,0,0,0,10.43,12.19,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,Phone,New Hire,30-60 days,26-Mar,25,46,37,45,411.4,533.6,0,0,19148.76668,801,0,0
